Department Name,Course Code,Course Title,Type,Prerequisites,Theoritical,Practical,Course Credits,ECTS
Psychology Department (in English),ISS 316,Major Themes in the History of The Islamic Civilization,Gen/Coll/Departmental Elective,UNI 124,2,0,2,3
Psychology Department (in English),ISS 351,Art of Qur’an Recitation,Gen/Coll/Departmental Elective,,2,0,2,3
Psychology Department (in English),ISS 353,Main Topics in the Qur’an,Gen/Coll/Departmental Elective,,2,0,2,3
Psychology Department (in English),ISS 354,Advenced Tafseer Texts,Gen/Coll/Departmental Elective,,2,0,2,3
Psychology Department (in English),ISS 355,Hadith Takhrij and Rijal,Gen/Coll/Departmental Elective,,2,0,2,3
Psychology Department (in English),ISS 356,Hadith Literature,Gen/Coll/Departmental Elective,,2,0,2,3
Psychology Department (in English),ISS 357,Comperative Principles of Islamic Ibadat,Gen/Coll/Departmental Elective,,2,0,2,3
Psychology Department (in English),ISS 358,Comperative Islamic Law II,Gen/Coll/Departmental Elective,,2,0,2,3
Psychology Department (in English),ISS 359,Comperative Islamic Law I,Gen/Coll/Departmental Elective,,2,0,2,3
Psychology Department (in English),ISS 360,Classical Kalam Texts II,Gen/Coll/Departmental Elective,,2,0,2,3
Psychology Department (in English),ISS 361,Classical Kalam Texts I,Gen/Coll/Departmental Elective,,2,0,2,3
Psychology Department (in English),ISS 362,History of Islamic Thought III,Gen/Coll/Departmental Elective,"ISS 104, UNI 124",2,0,2,3
Psychology Department (in English),ISS 371,Major Themes in Classical Islamic Theology,Gen/Coll/Departmental Elective,,2,0,2,3
Psychology Department (in English),ISS 372,Major Themes of Islamic Civilization,Gen/Coll/Departmental Elective,,2,0,2,3
Psychology Department (in English),ISS 381,Muhtasaru'I-Kuduri: Chapter on Marriage (A classic fiqh textbook),Gen/Coll/Departmental Elective,,2,0,2,3
Psychology Department (in English),ISS 382,H:Muhtasaru'I-Kuduri: Muamelat,Gen/Coll/Departmental Elective,,3,0,3,3
Psychology Department (in English),ISS 383,Arabic Literature,Gen/Coll/Departmental Elective,,3,0,3,4
Psychology Department (in English),ISS 384,H: Mebahis fi Usuli'd-Din: Mutun Muhtara,Gen/Coll/Departmental Elective,,3,0,3,4
Psychology Department (in English),ISS 403,"Islamic Jurisprudance, Rule and Evidence",Gen/Coll/Departmental Elective,"ISS 104, UNI 124",2,2,3,4
Psychology Department (in English),ISS 404,Islamic Criminal Law and International Relations,Gen/Coll/Departmental Elective,"UNI 124, ISS 104",2,2,3,5
Psychology Department (in English),ISS 405,Selected Topics in Islamic Theology,Gen/Coll/Departmental Elective,"ISS 104, UNI 124",2,0,2,3
Psychology Department (in English),ISS 406,Applied Munazara Techniques,Gen/Coll/Departmental Elective,,2,0,2,2
Psychology Department (in English),ISS 408,Turkish Islamic Literature,Gen/Coll/Departmental Elective,,2,0,2,3
Psychology Department (in English),ISS 409,Tasawwuf I,Gen/Coll/Departmental Elective,,2,0,2,2
Psychology Department (in English),ISS 410,History of Tasavvuf,Gen/Coll/Departmental Elective,UNI 124,3,0,3,5
Psychology Department (in English),ISS 412,History of Religion: Christianity and Contemporary Religious Movements,Gen/Coll/Departmental Elective,,2,1,3,5
Psychology Department (in English),ISS 414,Modern Islamic Thought,Gen/Coll/Departmental Elective,UNI 124,2,0,2,3
Psychology Department (in English),ISS 416,Philolosphy of Religion,Gen/Coll/Departmental Elective,UNI 124,2,0,2,3
Psychology Department (in English),ISS 417,Preaching and Vocational Internship,Gen/Coll/Departmental Elective,,0,2,1,2
Psychology Department (in English),ISS 418,Graduation Project,Gen/Coll/Departmental Elective,,1,3,2,3
Psychology Department (in English),ISS 419,Religious Education,Gen/Coll/Departmental Elective,UNI 124,2,0,1,2
Psychology Department (in English),ISS 451,Classic Logic,Gen/Coll/Departmental Elective,,2,0,2,3
Psychology Department (in English),ISS 452,Relation between Seerah and Hadith,Gen/Coll/Departmental Elective,,2,0,2,3
Psychology Department (in English),ISS 453,Issues in Contemporary Tafseer,Gen/Coll/Departmental Elective,,2,0,2,3
Psychology Department (in English),ISS 454,Orientalism and Hadith,Gen/Coll/Departmental Elective,,2,0,2,3
Psychology Department (in English),ISS 455,Jurisprudencial Hadiths,Gen/Coll/Departmental Elective,,2,0,2,3
Psychology Department (in English),ISS 456,Modern Approaches to Sunnah,Gen/Coll/Departmental Elective,,2,0,2,3
Psychology Department (in English),ISS 457,Current Fiqh Problems/Issues in Fıqh I,Gen/Coll/Departmental Elective,,2,0,2,3
Psychology Department (in English),ISS 458,Comperative Islamic Jurisprudance,Gen/Coll/Departmental Elective,,2,0,2,3
Psychology Department (in English),ISS 459,Contemporary Issues in Kalam,Gen/Coll/Departmental Elective,,2,0,2,3
Psychology Department (in English),ISS 460,Current Fiqh Problems/Issues II,Gen/Coll/Departmental Elective,,2,0,2,3
Psychology Department (in English),ISS 461,Classic texts of Tasawwuf,Gen/Coll/Departmental Elective,,2,0,2,3
Psychology Department (in English),ISS 462,Texts of Ottoamns Sufi Thinking,Gen/Coll/Departmental Elective,,2,0,2,3
Psychology Department (in English),ISS 463,Islamic Calligraprhy,Gen/Coll/Departmental Elective,,2,0,2,3
Psychology Department (in English),ISS 464,Philosophy of Tasawwuf,Gen/Coll/Departmental Elective,,2,0,2,3
Psychology Department (in English),ISS 465,Persian Langauge,Gen/Coll/Departmental Elective,,2,0,2,3
Psychology Department (in English),ISS 466,Issues in Current Tasawwuf,Gen/Coll/Departmental Elective,,2,0,2,3
Psychology Department (in English),ISS 467,Malay Language,Gen/Coll/Departmental Elective,,2,0,2,3
Psychology Department (in English),ISS 468,Religion and Social Sciences,Gen/Coll/Departmental Elective,,2,0,2,3
Psychology Department (in English),ISS 469,Islamic History of Sciences,Gen/Coll/Departmental Elective,,2,0,2,3
Psychology Department (in English),ISS 470,Intorduction to Judaism,Gen/Coll/Departmental Elective,,2,0,2,3
Psychology Department (in English),ISS 471,History of Islamic Economy,Gen/Coll/Departmental Elective,,2,0,2,3
Psychology Department (in English),ISS 473,Hristiyanlığa Giriş,Gen/Coll/Departmental Elective,,2,0,2,3
Psychology Department (in English),ISS 474,Urdu Language,Gen/Coll/Departmental Elective,,2,0,2,3
Psychology Department (in English),ISS 475,Political Ideas and Institutions in Islamic Civilization,Gen/Coll/Departmental Elective,,2,0,2,3
Psychology Department (in English),ISS 476,Classics of Islamic History,Gen/Coll/Departmental Elective,,2,0,2,3
Psychology Department (in English),ISS 478,Problematic Issues in Hadith,Gen/Coll/Departmental Elective,,2,0,2,3
Psychology Department (in English),ISS 481,Selected Topics in Systematic Theology,Gen/Coll/Departmental Elective,,2,0,2,4
Psychology Department (in English),ISS 482,H: en-Nazariyyatu'I-Kevniyye: Mutun Muhtara,Gen/Coll/Departmental Elective,,3,0,3,4
Psychology Department (in English),ISS 483,History of Religion: Major Faith Traditions,Gen/Coll/Departmental Elective,,2,1,3,5
Psychology Department (in English),ISS 484,History of Religion: Christianity and Contemporary Religious Trends,Gen/Coll/Departmental Elective,,2,1,3,5
Psychology Department (in English),ISS 485,A classic textbook in Usul al-Fqih by Molla Husrev,Gen/Coll/Departmental Elective,,2,0,2,3
Psychology Department (in English),ISS 486,Philosophy of Religion,Gen/Coll/Departmental Elective,,2,0,2,3
Psychology Department (in English),ISS 487,A classic book of Fiqh by Muhammad al-Shaibani,Gen/Coll/Departmental Elective,,3,0,3,4
Psychology Department (in English),ISS 488,H:el-Muvatta,Gen/Coll/Departmental Elective,,3,0,3,4
Psychology Department (in English),ISS 489,Selected Readings in Islamic Political Thought,Gen/Coll/Departmental Elective,,2,0,2,3
Psychology Department (in English),ISS 490,Readings on Tefsir bi'd-Diraye (Qur’anic Exegesis),Gen/Coll/Departmental Elective,,3,0,5,4
Psychology Department (in English),ITM 200,Internship I,Gen/Coll/Departmental Elective,,0,0,0,5
Psychology Department (in English),ITM 300,Internship II,Gen/Coll/Departmental Elective,,0,0,0,5
Psychology Department (in English),ITM 301,International Economics,Gen/Coll/Departmental Elective,"ECON 201, ECON 202",3,0,3,5
Psychology Department (in English),ITM 302,Global Entrepreneurship,Gen/Coll/Departmental Elective,,3,0,3,5
Psychology Department (in English),ITM 303,Innovation Management,Gen/Coll/Departmental Elective,,3,0,3,5
Psychology Department (in English),ITM 304,International Transport and Logistics,Gen/Coll/Departmental Elective,,3,0,3,5
Psychology Department (in English),ITM 306,Import and Export Management,Gen/Coll/Departmental Elective,,3,0,3,5
Psychology Department (in English),ITM 308,International Trade Operations,Gen/Coll/Departmental Elective,,3,0,3,5
Psychology Department (in English),ITM 310,Supply Chain Management,Gen/Coll/Departmental Elective,,3,0,3,5
Psychology Department (in English),ITM 312,International Finance,Gen/Coll/Departmental Elective,,3,0,3,5
Psychology Department (in English),ITM 401,International Business Management,Gen/Coll/Departmental Elective,,3,2,4,7
Psychology Department (in English),ITM 403,International Marketing,Gen/Coll/Departmental Elective,,3,0,3,5
Psychology Department (in English),ITM 405,Business Consulting Models,Gen/Coll/Departmental Elective,,3,0,3,5
Psychology Department (in English),ITM 406,Global Business Strategy,Gen/Coll/Departmental Elective,,3,2,4,8
Psychology Department (in English),ITM 411,Cross Cultural Management,Gen/Coll/Departmental Elective,,3,0,3,5
Psychology Department (in English),ITM 412,Management of Multinational Corporations,Gen/Coll/Departmental Elective,,3,0,3,5
Psychology Department (in English),ITM 413,International Business Comm.,Gen/Coll/Departmental Elective,,3,0,3,5
Psychology Department (in English),ITM 414,International Human Resource Management,Gen/Coll/Departmental Elective,,3,0,3,5
Psychology Department (in English),ITM 415,E-Business and Trade,Gen/Coll/Departmental Elective,,3,0,3,5
Psychology Department (in English),ITM 416,Special Topics in International Trade,Gen/Coll/Departmental Elective,,3,0,3,5
Psychology Department (in English),ITM 418,History of Trade,Gen/Coll/Departmental Elective,,3,0,3,5
Psychology Department (in English),ITM 420,Special Topics in International Marketing,Gen/Coll/Departmental Elective,,3,0,3,5
Psychology Department (in English),ITM 422,Managerial Decision Making,Gen/Coll/Departmental Elective,,3,0,3,5
Psychology Department (in English),ITM 440,Foreign Trade Financing,Gen/Coll/Departmental Elective,,3,0,3,5
Psychology Department (in English),ITM 441,Special Topics in International Finance,Gen/Coll/Departmental Elective,,3,0,3,5
Psychology Department (in English),ITM 442,Special Topics in International Accounting,Gen/Coll/Departmental Elective,,3,0,3,5
Psychology Department (in English),ITM 450,International Economic and Trade Organizations,Gen/Coll/Departmental Elective,,3,0,3,5
Psychology Department (in English),ITM 451,International Econonomic Law,Gen/Coll/Departmental Elective,,3,0,3,5
Psychology Department (in English),ITM 452,International Political Economy,Gen/Coll/Departmental Elective,,3,0,3,5
Psychology Department (in English),ITM 453,Turkish Foreign Trade and Investment Policy,Gen/Coll/Departmental Elective,,3,0,3,5
Psychology Department (in English),ITM 454,Region Studies in International Trade,Gen/Coll/Departmental Elective,,3,0,3,5
Psychology Department (in English),ITM 455,Customs and Applications,Gen/Coll/Departmental Elective,,3,0,3,5
Psychology Department (in English),ITM 456,Customs and Applications II,Gen/Coll/Departmental Elective,,3,0,3,5
Psychology Department (in English),LAT 101,Latin,Gen/Coll/Departmental Elective,,3,0,3,5
Psychology Department (in English),LAT 102,Latin II,Gen/Coll/Departmental Elective,,3,0,3,5
Psychology Department (in English),LAW 203,International Law I,Gen/Coll/Departmental Elective,,2,0,2,4
Psychology Department (in English),LAW 204,International Law II,Gen/Coll/Departmental Elective,,2,0,2,4
Psychology Department (in English),LAW 209,Sociology of Law,Gen/Coll/Departmental Elective,,2,0,2,4
Psychology Department (in English),LAW 210,Philosophy of Law,Gen/Coll/Departmental Elective,,2,0,2,4
Psychology Department (in English),LAW 213,Introduction to European Union Law,Gen/Coll/Departmental Elective,,2,0,2,3
Psychology Department (in English),LAW 220,International Protection Of Human Rights,Gen/Coll/Departmental Elective,,2,0,2,3
Psychology Department (in English),LAW 222,International Humanitarian Law,Gen/Coll/Departmental Elective,,2,0,2,3
Psychology Department (in English),LAW 231,Introduction to Law,Gen/Coll/Departmental Elective,,3,0,3,5
Psychology Department (in English),LAW 232,Business Law,Gen/Coll/Departmental Elective,,3,0,3,5
Psychology Department (in English),LAW 315,Environmental Law,Gen/Coll/Departmental Elective,,2,0,2,3
Psychology Department (in English),LAW 316,Law of Torts and Contract,Gen/Coll/Departmental Elective,,2,0,2,3
Psychology Department (in English),LAW 317,Criminology,Gen/Coll/Departmental Elective,,2,0,2,3
Psychology Department (in English),LAW 318,International Investment Law,Gen/Coll/Departmental Elective,,2,0,2,3
Psychology Department (in English),LAW 319,Introduction to Common Law,Gen/Coll/Departmental Elective,,2,0,2,3
Psychology Department (in English),LAW 321,International Commercial Law,Gen/Coll/Departmental Elective,,2,0,2,3
Psychology Department (in English),LAW 322,Banking Law,Gen/Coll/Departmental Elective,,2,0,2,3
Psychology Department (in English),LAW 326,International Sales and Arbitration Law,Gen/Coll/Departmental Elective,,2,0,2,3
Psychology Department (in English),LAW 327,The Rights of the Child in International Law,Gen/Coll/Departmental Elective,,2,0,2,3
Psychology Department (in English),LAW 411,International Private Law I,Gen/Coll/Departmental Elective,,2,2,3,5
Psychology Department (in English),LAW 412,International Private Law II,Gen/Coll/Departmental Elective,,2,2,3,5
Psychology Department (in English),LAW 415,Competition Law,Gen/Coll/Departmental Elective,,2,0,2,3
Psychology Department (in English),LAW 416,International Arbitration,Gen/Coll/Departmental Elective,,2,0,2,3
Psychology Department (in English),LAW 421,Law of Stock-Exchange,Gen/Coll/Departmental Elective,,2,0,2,3
Psychology Department (in English),LAW 423,Legal Writing,Gen/Coll/Departmental Elective,,2,0,2,3
Psychology Department (in English),LAW 424,Communications Law,Gen/Coll/Departmental Elective,,2,0,2,3
Psychology Department (in English),LAW 425,Democracy and Law,Gen/Coll/Departmental Elective,,2,0,2,3
Psychology Department (in English),LAW 426,Law and Ethics,Gen/Coll/Departmental Elective,,2,0,2,3
Psychology Department (in English),LAW 427,International Trade Law,Gen/Coll/Departmental Elective,,2,0,2,3
Psychology Department (in English),LIFE 101,Life Sciences I - Chemistry,Gen/Coll/Departmental Elective,,3,0,3,5
Psychology Department (in English),LIFE 102,Life Sciences II - Biology,Gen/Coll/Departmental Elective,,3,0,3,5
Psychology Department (in English),LING 201,Ottoman Turkish I,Gen/Coll/Departmental Elective,,4,0,4,6
Psychology Department (in English),LING 202,Ottoman Turkish II,Gen/Coll/Departmental Elective,LING 201,4,0,4,6
Psychology Department (in English),LING 204,Historical Linguistics of Turkish,Gen/Coll/Departmental Elective,,3,0,3,4
Psychology Department (in English),LING 411,Turkish Phonology,Gen/Coll/Departmental Elective,,3,0,3,6
Psychology Department (in English),LING 412,Turkish Morphology,Gen/Coll/Departmental Elective,,3,0,3,6
Psychology Department (in English),LING 413,Turkish Syntax,Gen/Coll/Departmental Elective,,3,0,3,6
Psychology Department (in English),LING 414,Discourse Analysis,Gen/Coll/Departmental Elective,,3,0,3,6
Psychology Department (in English),LING 415,Linguistic Methodology,Gen/Coll/Departmental Elective,,3,0,3,6
